best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,elapsed_seconds,epoch,iterations_since_restore,run_group,time_since_restore,time_this_iter_s,time_total_s,train_loss_model_space,training_iteration,trial_id,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
1,0.2439206686442491,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,14.608381748199465,1,1,group_A,16.23613476753235,16.23613476753235,16.23613476753235,0.4085501037866682,1,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.2439206686442491,0.7739385185583378,0.3229440487367088,0.9939731274273144
1,0.2439206686442491,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,28.326733589172363,2,2,group_A,29.94780969619751,13.71167492866516,29.94780969619751,0.3196053580430638,2,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.2507326354977315,0.8055374510735556,0.3157397822712,0.9992473584896306
3,0.2006602520270953,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,42.11268091201782,3,3,group_A,43.73038387298584,13.78257417678833,43.73038387298584,0.2930000365170367,3,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.2006602520270953,0.6846019250886518,0.4532999365711185,0.8931757542492947
4,0.1467469253394969,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,56.137282609939575,4,4,group_A,57.75213408470154,14.021750211715698,57.75213408470154,0.281019277843678,4,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.1467469253394969,0.5788938783669041,0.6099767288363003,0.7544103247867977
4,0.1467469253394969,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,70.21172070503235,5,5,group_A,71.82336974143982,14.07123565673828,71.82336974143982,0.258676584271703,5,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.1837201859190981,0.6636294171955073,0.4987925874802352,0.8552067221866121
4,0.1467469253394969,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,84.42727899551392,6,6,group_A,86.03560853004456,14.212238788604736,86.03560853004456,0.2438485680431265,6,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.2087747173176871,0.7066588229330764,0.4399114706592677,0.9040463611098776
4,0.1467469253394969,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,False,98.4357612133026,7,7,group_A,100.04147911071776,14.005870580673218,100.04147911071776,0.2465578550650659,7,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.1851444357523211,0.6566880258059167,0.504333056552392,0.850466754672778
4,0.1467469253394969,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,True,112.43482160568236,8,8,group_A,114.03727698326112,13.995797872543337,114.03727698326112,0.2398147913060194,8,04326c12,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.2018602220390839,0.6812437070236999,0.4070989058885284,0.9301510681746106
1,0.2639066830829338,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,11.24646019935608,1,1,group_A,12.872795581817629,12.872795581817629,12.872795581817629,0.3385401986333357,1,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.2639066830829338,0.8183105560767401,0.2788829907021294,1.0258059954904082
2,0.2070590552119981,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,21.526278734207153,2,2,group_A,23.14656376838684,10.273768186569214,23.14656376838684,0.2881389423503422,2,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.2070590552119981,0.7167783468210155,0.4445633314147006,0.9002842178985264
3,0.1759405314291595,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,31.805368185043335,3,3,group_A,33.422293186187744,10.275729417800903,33.422293186187744,0.2699579236497998,3,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1759405314291595,0.6535652479601857,0.5386622664628811,0.8204872790896648
4,0.1728988202318312,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,42.5676052570343,4,4,group_A,44.18154859542847,10.759255409240724,44.18154859542847,0.2636912579061445,4,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1728988202318312,0.632790832370966,0.5423761361101924,0.8171780546200219
4,0.1728988202318312,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,53.1826753616333,5,5,group_A,54.79361367225647,10.612065076828005,54.79361367225647,0.2650120204254504,5,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1826315616804456,0.6634245666324713,0.5147985676433302,0.8414404784081303
6,0.1461600097556593,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,63.83552432060242,6,6,group_A,65.44270730018616,10.649093627929688,65.44270730018616,0.2559506117296972,6,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1461600097556593,0.5993623319982848,0.6204450236003519,0.7442172088957117
6,0.1461600097556593,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,False,74.60146450996399,7,7,group_A,76.20475053787231,10.762043237686155,76.20475053787231,0.2350956067514015,7,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1640312705563489,0.6119460941296614,0.566541252964162,0.7953096442072856
6,0.1461600097556593,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,True,85.18390560150146,8,8,group_A,86.78418350219727,10.579432964324951,86.78418350219727,0.240429867815577,8,04cd22e9,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1727305917591645,0.6348927950707054,0.5383615614003507,0.8207546368942152
1,0.4460764794004342,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,False,18.26892566680908,1,1,group_A,21.80823516845703,21.80823516845703,21.80823516845703,0.9415224997953336,1,05043835,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.4460764794004342,0.6737126919253328,0.4305963323570122,0.9115332044833488
2,0.4247217824850133,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,False,32.0637629032135,2,2,group_A,35.5941424369812,13.78590726852417,35.5941424369812,0.794711118072291,2,05043835,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.4247217824850133,0.6803996189359458,0.4578549727235325,0.8894470572345584
2,0.4247217824850133,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,False,45.586756229400635,3,3,group_A,49.11360549926758,13.519463062286375,49.11360549926758,0.7328678225832326,3,05043835,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.4464036335863133,0.7060260753347624,0.4301787231471714,0.9118674092946124
2,0.4247217824850133,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,False,59.450711250305176,4,4,group_A,62.97411465644837,13.860509157180786,62.97411465644837,0.7193912648331616,4,05043835,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.5651038749508126,0.7635104547847408,0.2786613191015866,1.025963649922021
5,0.3824182517787136,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,False,73.12088990211487,5,5,group_A,76.63918352127075,13.665068864822388,76.63918352127075,0.7250277067045973,5,05043835,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.3824182517787136,0.6441987704208628,0.5118542150033363,0.8439896777039069
