best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,epoch,num_reported_rows,run_group,test_mae,test_r2,test_rmse,time_total_s,training_iteration,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
4,0.1503884678795224,3,8,3,192,smoothl1,0.0006855943721561,7.821253230666728e-05,True,8,8,group_A,,,,83.55348038673401,8,"trainable_18a72bbe_195_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=192,loss=smoothl1,lr=0.0007,weight_decay=0.0001_2026-07-09_03-38-45",0.1807697215092876,0.6459529816684833,0.5156457312174278,0.8407055783214753
4,0.1547768086825729,3,4,3,192,smoothl1,0.0011502409686868,1.3729302644084647e-05,True,8,8,group_A,,,,113.10616064071657,8,"trainable_18d9c21d_187_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=192,loss=smoothl1,lr=0.0012,weight_decay=0.0000_2026-07-09_03-36-29",0.1660416525192361,0.6198839566975193,0.55244159329334,0.8081411527880341
16,0.1076495830147039,1,8,3,256,smoothl1,0.0006051245682875,7.2971115638715746e-06,True,16,16,group_A,,,,142.9432349205017,16,"trainable_1b48a147_105_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_03-09-52",0.1076495830147039,0.4585238232923262,0.6900325940477521,0.672543496873494
4,0.2923373833850578,2,4,1,256,mse,0.000853274506624,2.449854673700888e-05,True,8,8,group_A,,,,91.77661776542664,8,"trainable_1bb4b709_88_alignn_layers=2,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0009,weight_decay=0.0000_2026-07-09_03-05-23",0.4473422375069093,0.6820031629273597,0.4289806400294328,0.9128255336558062
47,0.051437143916412,3,8,3,64,smoothl1,0.0008624061985369,4.984826029779249e-06,True,50,50,group_A,,,,497.0730366706848,50,"trainable_1da1807c_164_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0009,weight_decay=0.0000_2026-07-09_03-29-10",0.0699579410412639,0.3767456745500901,0.815116188444706,0.5194117934508785
28,0.0817023525359453,2,4,1,192,smoothl1,0.000767704428912,6.0517975052495054e-05,True,32,32,group_A,,,,363.15723872184753,32,"trainable_1e2b000e_8_alignn_layers=2,batch_size=4,gcn_layers=1,hidden_features=192,loss=smoothl1,lr=0.0008,weight_decay=0.0001_2026-07-09_02-22-23",0.0971627488890022,0.4110889875143685,0.7228087218681396,0.6359927189890835
27,0.0796747272292142,1,8,3,64,smoothl1,0.0003676114777199,5.7648928646078105e-06,True,32,32,group_A,,,,279.27318120002747,32,"trainable_1f74d3bb_85_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_03-04-17",0.0831725097226875,0.4144394503810979,0.7719615533023112,0.5768546533228234
5,0.145583832468936,2,4,1,256,smoothl1,0.0004190504312262,3.2606486800088063e-06,True,8,8,group_A,,,,95.58058214187622,8,"trainable_2014b15d_193_alignn_layers=2,batch_size=4,gcn_layers=1,hidden_features=256,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_03-38-33",0.1702208882049908,0.6155721925666645,0.5242372154663228,0.833215992201718
46,0.0640728871618944,2,8,2,64,smoothl1,0.0005714750597803,2.3635626664674207e-06,True,50,50,group_A,,,,449.55572295188904,50,"trainable_209b2bdf_16_alignn_layers=2,batch_size=8,gcn_layers=2,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-28-11",0.0791293066389188,0.3871424540099809,0.7695909936032411,0.5798452299283873
49,0.0580954067285847,2,8,1,128,smoothl1,0.0006830327403212,1.7983473523226703e-05,True,50,50,group_A,,,,439.6534593105316,50,"trainable_20c59249_56_alignn_layers=2,batch_size=8,gcn_layers=1,hidden_features=128,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-49-27",0.0596269946200428,0.3275102825899991,0.8374509471139849,0.4870287342385498
15,0.121112359579278,1,4,1,64,smoothl1,0.0009454173627288,7.612977540463394e-05,True,16,16,group_A,,,,157.98408722877502,16,"trainable_229d37a1_132_alignn_layers=1,batch_size=4,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0009,weight_decay=0.0001_2026-07-09_03-18-27",0.1366396040788718,0.5363044728991266,0.5942502089588454,0.7694696870991781
24,0.0769954817714514,3,4,2,64,smoothl1,0.0004520714796602,1.842231904610259e-05,True,32,32,group_A,,,,424.79261445999146,32,"trainable_2339214e_20_alignn_layers=3,batch_size=4,gcn_layers=2,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-30-13",0.0976506495483653,0.4327977957544692,0.7107479791479715,0.6496815957016068
4,0.1618058750869105,4,8,2,128,smoothl1,0.0007429461691022,9.900867280583662e-05,True,8,8,group_A,,,,84.93515944480896,8,"trainable_23da0741_108_alignn_layers=4,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0007,weight_decay=0.0001_2026-07-09_03-10-43",0.1963043341403285,0.6718292809358528,0.3680810513890117,0.9602693171788504
14,0.2379568588166009,3,8,2,192,mse,0.0008321131273903,1.5842168168299793e-05,True,16,16,group_A,,,,158.1038248538971,16,"trainable_26634072_19_alignn_layers=3,batch_size=8,gcn_layers=2,hidden_features=192,loss=mse,lr=0.0008,weight_decay=0.0000_2026-07-09_02-29-50",0.283386601184411,0.5815359990604767,0.6382652325287426,0.726536586863368
5,0.1296949001058699,1,8,4,128,smoothl1,0.0008145962864006,1.2821142112264835e-05,True,8,8,group_A,,,,73.67558526992798,8,"trainable_270b8b03_160_alignn_layers=1,batch_size=8,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-26-03",0.1991421887404704,0.6757485038405955,0.4490636505212431,0.8966296100263609
14,0.1124074847373382,2,8,3,256,smoothl1,0.0006766720010279,1.904544328578132e-05,True,16,16,group_A,,,,153.10949325561523,16,"trainable_295e2598_121_alignn_layers=2,batch_size=8,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_03-14-01",0.1199087568573535,0.4974118889329994,0.6706492776315557,0.6932528655708987
7,0.1423561889973897,1,8,4,128,smoothl1,0.0010742263318413,7.318175817018725e-05,True,8,8,group_A,,,,76.17283844947815,8,"trainable_2a437399_52_alignn_layers=1,batch_size=8,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0011,weight_decay=0.0001_2026-07-09_02-48-55",0.1981829912771308,0.6773059899263001,0.4524912847218675,0.8938360809852102
