epoch,train_loss_model_space,val_loss_model_space,val_mae,val_rmse,val_r2,lr,epoch_time_seconds
1,0.3739981435489466,0.25518170890038605,0.7816738532472217,1.0134949124312187,0.29608791822469427,4.216548974091746e-05,9.438689947128296
2,0.31213332950048656,0.20984441160209596,0.7101904140823768,0.9087140745122867,0.434112914469881,6.80764399767829e-05,8.832690477371216
3,0.26972438627516776,0.19248230120650045,0.6712324808849018,0.8668731992198556,0.48502466832947544,0.00011000035529695588,8.684892654418945
4,0.24888620847852078,0.1607661166440242,0.6071584843847407,0.7877099194018893,0.5747856599353418,0.0001661036776530807,8.651882648468018
5,0.2241481230535972,0.1616068167818917,0.6037872514286116,0.7910691110911487,0.5711512709292665,0.0002339327073498889,8.946571826934814
6,0.2144962318580036,0.15239388259157302,0.5914935324363355,0.7699592563936989,0.5937337342107816,0.00031052091651509223,8.68934941291809
7,0.19871724171808003,0.14711923337487318,0.5773370367921569,0.7501142997200594,0.6144060929269531,0.00039251869130056704,8.81295132637024
8,0.18756310635389192,0.15462831175201153,0.6004552691393421,0.7926209529516094,0.5694670737791434,0.0004763398284913474,8.675741910934448
9,0.17307002838992852,0.14372970420059072,0.5461832891694756,0.7743696207238208,0.5890661782577098,0.0005583183794386787,8.71407151222229
10,0.1694335478104754,0.10863858248506274,0.49939861364353794,0.6415200300764058,0.7179697352113366,0.0006348689816893147,8.937488079071045
11,0.17295513222137512,0.14152090113472054,0.5432065601025984,0.7578904789767014,0.6063700128694078,0.0007026436661475448,8.722663879394531
12,0.18084445058161527,0.10850584273418737,0.490398923238065,0.648768745616809,0.7115602485216033,0.0007586782817503272,8.786283254623413
13,0.1638721863667458,0.11161196545239478,0.49544075358301565,0.65629570872808,0.7048285133528771,0.0008005221337178362,8.723181962966919
14,0.15633913619079584,0.14083444654310823,0.5505734629660097,0.777602462130623,0.5856278797535657,0.0008263451656022593,8.706062316894531
15,0.15115552726664616,0.10478572247835694,0.46639761962832105,0.6554868735859538,0.7055556183773379,0.0008350181945794351,8.821508884429932
16,0.13544700995156292,0.10437390760139183,0.4738481135285151,0.6423293228819174,0.717257710576668,0.0008333197521629183,8.865113735198975
17,0.14008806666470894,0.11956143317123254,0.5032176021517467,0.6855780165873636,0.6779012495560727,0.0008282734604797768,9.118909120559692
18,0.14019997698978973,0.10638925618437862,0.47862920544075294,0.6559710496427309,0.7051204744331793,0.0008199199493034719,8.7861647605896
19,0.12293584590595047,0.11503341265771755,0.4875289173743775,0.669291476563142,0.6930229826578207,0.0008083264761942099,8.925137281417847
20,0.13184711572771168,0.0987775362042523,0.452172777260683,0.6261545069694713,0.7313181714261727,0.000793586384980615,9.12595820426941
21,0.12389107110804048,0.12860801780507677,0.5066937290929998,0.7371984962347597,0.627570430683654,0.0007758183542101057,8.91405463218689
22,0.12113803677099014,0.09181303044081365,0.4484928550636449,0.5896636465228433,0.7617219808145603,0.0007551654416190133,8.884573221206665
23,0.11221563700559581,0.08354217898120325,0.4247240128367561,0.5659938886890955,0.7804675332422806,0.0007317939323158053,8.806787729263306
24,0.11926296905144176,0.07782202092782846,0.38395821199195784,0.551364251311557,0.7916696793333665,0.0007058919999511662,8.792454242706299
25,0.10674074090100025,0.07482489209287066,0.41335308318305,0.529809098909717,0.8076402966567667,0.0006776681916544065,8.902977705001831
26,0.10718146957815125,0.08152817333580326,0.4377295615674256,0.5543039814091486,0.7894422313843954,0.000647349748934601,8.833954334259033
27,0.09416906759290024,0.07610460885223888,0.39335196694857755,0.538693451692362,0.801134857311327,0.0006151807780655742,9.205344438552856
28,0.08885043564941084,0.0780928869036928,0.39953015649997004,0.5534528048699978,0.7900883902947062,0.0005814202846857148,8.764200687408447
29,0.09962361313432082,0.06864914367044414,0.3870531844506814,0.5078916874372232,0.8232263687371639,0.0005463400884368688,8.760295391082764
30,0.09114501800773134,0.08225473107168914,0.39695849348734474,0.5657163912611258,0.7806827467353575,0.0005102226344324106,8.917952299118042
31,0.08957294726632707,0.07312169844018561,0.39058220564658613,0.5236719416317059,0.8120709650863637,0.00047335871917526513,8.903130769729614
32,0.08051826016164439,0.06551214055251822,0.3752639681238641,0.49837450406099926,0.8297892809089822,0.00043604514923545156,8.781721591949463
33,0.08794318590928764,0.07029319572306815,0.3753029744367703,0.514242335019753,0.8187779964052189,0.0003985823515381015,8.976884841918945
34,0.08031290605507295,0.06084863462105945,0.36124179967996367,0.47774967815302277,0.8435858352825945,0.00036127195450250577,8.880136251449585
35,0.09027958889151577,0.07851807473513184,0.39717107433840776,0.5467459354572344,0.7951450795637062,0.00032441435950743676,8.982287645339966
36,0.07823706283880896,0.06893286230190405,0.370058076141111,0.5111812651731816,0.8209290529227988,0.00028830632223587985,8.725368022918701
37,0.0783347699599901,0.06577517322841145,0.3669257577981067,0.5010929904331914,0.8279273176463362,0.00025323856337276346,8.711219310760498
38,0.0691038490063986,0.0499092991705294,0.32780012260743807,0.43307253491428904,0.8714723527931527,0.00021949342789294527,8.85118842124939
39,0.07178219072913126,0.05332977815762793,0.34331311053363744,0.4499161360019077,0.8612802134564022,0.00018734261178549036,8.77589726448059
40,0.06663754050220762,0.05391003817773212,0.33980580940070726,0.45018377231384915,0.8611151271588471,0.00015704497451732213,9.073708295822144
41,0.0751641063611903,0.05374541710667982,0.3284484099207712,0.449395160376011,0.8616012856737074,0.00012884445484900173,8.868924379348755
42,0.06336361949452843,0.05611220089886239,0.3311076094922783,0.4583913763887976,0.8560047550316101,0.00010296810678326139,8.820221662521362
43,0.06435173150051417,0.058100085636531865,0.33785447703742644,0.46728334935227517,0.8503640704788182,7.962427145968026e-05,9.02993369102478
44,0.06458659393687127,0.05035438440572569,0.31832065385379604,0.4353787935865552,0.8700998008974958,5.900089971433089e-05,8.893935203552246
45,0.06359454162095117,0.057638493134940745,0.338494990755712,0.46614052045472676,0.8510951007979813,4.126403881016055e-05,9.13196611404419
46,0.07402375952841578,0.051068070842317806,0.32802942403044316,0.43829968579891326,0.8683509916443526,2.6556495522064412e-05,8.816829919815063
47,0.06507956924087382,0.05119624885695952,0.3408121267910609,0.4374899674747647,0.8688369611866923,1.4996686340702726e-05,8.989657640457153
48,0.061312221667537414,0.050952962279398606,0.3197750927487908,0.43726445023739535,0.8689721501260175,6.677684052546142e-06,8.9222731590271
49,0.06996037182965273,0.055103379459411066,0.32714792974668233,0.4570097277353316,0.8568714860185297,1.6664683725247565e-06,8.919399499893188
50,0.06733786882716154,0.04967615312142741,0.3194884380553493,0.43190074209573337,0.8721669432239992,3.3866627469848775e-09,9.069951057434082
